"task_id","batch","reward","db_match","agent_cost","user_cost","total_cost","duration_seconds","termination_reason"
"2",1,0.0,true,0.046245999999999995,0.009614,0.05586,34.51776806998532,"user_stop"
"14",1,1.0,true,0.027204,0.007273999999999999,0.034477999999999995,51.94601980200969,"user_stop"
"4",1,0.0,true,0.068398,0.00967,0.07806799999999998,57.69406125799287,"user_stop"
"24",1,1.0,true,0.031633999999999995,0.010496,0.04213,34.145492776005995,"user_stop"
"25",1,1.0,true,0.037219999999999996,0.012190000000000001,0.04940999999999999,52.04936186998384,"user_stop"
"56",1,1.0,true,0.045551999999999995,0.011446,0.056998,61.07304667198332,"user_stop"
"32",1,1.0,true,0.08306199999999998,0.023629999999999998,0.10669200000000001,93.93960784096271,"user_stop"
"80",1,1.0,true,0.043871999999999994,0.014391999999999999,0.058263999999999996,50.88277998199919,"user_stop"
"90",1,1.0,true,0.040887999999999994,0.012076,0.052964,62.13993191800546,"user_stop"
"103",1,1.0,true,0.07918199999999999,0.01506,0.09424200000000002,61.7310819880222,"user_stop"
"50",2,1.0,true,0.022699999999999998,0.007751999999999999,0.030452,32.016938626999035,"user_stop"
"8",2,1.0,true,0.05926599999999999,0.014104,0.07337,61.41695430094842,"user_stop"
"38",2,0.0,false,0.084044,0.019941999999999998,0.103986,61.92659339099191,"user_stop"
"57",2,0.0,false,0.038565999999999996,0.014804,0.053369999999999994,31.838024625030812,"user_stop"
"59",2,0.0,false,0.036412,0.010358,0.04677,21.729947980027646,"user_stop"
"76",2,0.0,false,0.059902,0.013666,0.073568,27.40720324398717,"user_stop"
"65",2,1.0,true,0.093018,0.01552,0.108538,35.16518991399789,"user_stop"
"94",2,1.0,true,0.053101999999999996,0.012562,0.065664,27.64512148895301,"user_stop"
"106",2,1.0,true,0.0539,0.013357999999999998,0.06725799999999998,29.34799604100408,"user_stop"
"104",2,1.0,true,0.094116,0.014261999999999999,0.108378,34.230030267033726,"user_stop"
"11",3,1.0,true,0.04195399999999999,0.010699999999999998,0.052653999999999986,32.319478939985856,"user_stop"
"6",3,1.0,true,0.053796,0.013789999999999997,0.067586,34.64282103802543,"user_stop"
